mode,target,regressor,MSE,MAE,R2
angle,v,Linear,779.5307990201875,21.751358439750767,0.002967431968969314
angle,v,Ridge,779.5300127397876,21.751344935271863,0.0029684376343868113
angle,v,RandomForest,427.54325546337833,15.06604325104393,0.4531652239080295
angle,v,SVR,491.36049947540914,15.49739080179382,0.37154193107347633
angle,v,KNN,445.8870680560756,15.031776754461237,0.42970318931008256
angle,v,MLP,397.6578611529597,14.5125804561793,0.4913891292025848
angle,w,Linear,2.4917564374517847,1.3314955498619512,0.01155968255323836
angle,w,Ridge,2.491774435884933,1.3315018020221736,0.011552542859844861
angle,w,RandomForest,0.035864299225974366,0.06869541766381952,0.985773200470516
angle,w,SVR,0.004238237502689278,0.05599518280354636,0.9983187583025341
angle,w,KNN,0.01076817493894143,0.06376639808708161,0.9957284355344721
